row,merchant_id,merchant_name,segmentation
1332,,,T20
1333,,,T20
1334,,,No
1335,,,T20
1336,,,T20
1337,,,T20
1338,,,No
1339,,,No
1340,,,T20
1341,,,T20
1342,,,T20
1343,,,T20
1344,,,T20
1345,,,T20
1346,,,T20
1347,,,No
1348,,,No
1349,,,T20
1350,,,T20
1351,,,T20
1352,,,No
1353,,,No
1354,,,T20
1355,,,T20
1356,,,No
1357,,,T20
1358,,,T20
1359,,,No
1360,,,No
1361,,,No
1362,,,No
1363,,,No
1364,,,T20
1365,,,T20
1366,,,No
1367,,,No
1368,,,T20
1369,,,No
1370,,,No
1371,,,No
1372,,,T20
1373,,,T20
1374,,,T20
1375,,,No
1376,,,No
1377,,,T20
1378,,,T20
1379,,,No
1380,,,T20
1381,,,No
1382,,,No
1383,,,No
1384,,,T20
1385,,,T20
1386,,,T20
1387,,,T20
1388,,,No
1389,,,No
1390,,,No
1391,,,No
1392,,,T20
1393,,,No
1394,,,T20
1395,,,No
1396,,,T20
1397,,,T20
1398,,,T20
1399,,,No
1400,,,No
1401,,,T20
1402,,,T20
1403,,,T20
1404,,,T20
1405,,,T20
1406,,,T20
1407,,,No
1408,,,T20
1409,,,T20
1410,,,T20
1411,,,T20
1412,,,T20
1413,,,No
1414,,,No
1415,,,No
1416,,,T20
1417,,,No
1418,,,T20
1419,,,No
1420,,,T20
1421,,,T20
1422,,,T20
1423,,,No
1424,,,No
1425,,,No
1426,,,T20
1427,,,No
1428,,,No
1429,,,T20
1430,,,No
1431,,,T20
1432,,,No
1433,,,No
1434,,,No
1435,,,No
1436,,,No
1437,,,No
1438,,,No
1439,,,No
1440,,,No
1441,,,T20
1442,,,T20
1443,,,No
1444,,,No
1445,,,T20
1446,,,No
1447,,,No
1448,,,T20
1449,,,No
1450,,,No
1451,,,No
1452,,,No
1453,,,T20
1454,,,T20
1455,,,T20
1456,,,T20
1457,,,No
1458,,,T20
1459,,,No
1460,,,T20
1461,,,T20
1462,,,T20
1463,,,T20
1464,,,No
1465,,,T20
1466,,,T20
1467,,,T20
1468,,,T20
1469,,,No
1470,,,T20
1471,,,No
1472,,,T20
1473,,,T20
1474,,,T20
1475,,,No
1476,,,No
1477,,,No
1478,,,No
1479,,,T20
1480,,,T20
1481,,,No
1482,,,No
1483,,,T20
1484,,,T20
1485,,,No
1486,,,No
1487,,,T20
1488,,,No
1489,,,No
1490,,,No
1491,,,No
1492,,,No
1493,,,T20
1494,,,T20
1495,,,No
1496,,,T20
1497,,,No
1498,,,No
1499,,,T20
1500,,,No
1501,,,T20
1502,,,No
1503,,,No
1504,,,T20
1505,,,T20
1506,,,T20
1507,,,T20
1508,,,No
1509,,,T20
1510,,,T20
1511,,,No
1512,,,No
1513,,,No
1514,,,No
1515,,,No
1516,,,No
1517,,,T20
1518,,,No
1519,,,T20
1520,,,T20
1521,,,No
1522,,,No
1523,,,No
1524,,,T20
1525,,,T20
1526,,,T20
1527,,,T20
1528,,,T20
1529,,,T20
1530,,,No
1531,,,No
1532,,,No
1533,,,No
1534,,,No
1535,,,No
1536,,,No
1537,,,No
1538,,,No
1539,,,No
1540,,,No
1541,,,No
1542,,,T20
1543,,,No
1544,,,T20
1545,,,T20
1546,,,T20
1547,,,T20
1548,,,No
1549,,,T20
1550,,,No
1551,,,T20
1552,,,No
1553,,,No
1554,,,T20
1555,,,T20
1556,,,No
1557,,,No
1558,,,T20
1559,,,T20
1560,,,No
1561,,,No
1562,,,T20
1563,,,T20
1564,,,T20
1565,,,T20
1566,,,No
1567,,,No
1568,,,T20
1569,,,T20
1570,,,T20
1571,,,No
1572,,,T20
1573,,,T20
1574,,,No
1575,,,T20
1576,,,T20
1577,,,T20
1578,,,T20
1579,,,No
1580,,,No
1581,,,T20
1582,,,No
1583,,,No
1584,,,No
1585,,,No
1586,,,No
1587,,,T20
1588,,,No
1589,,,No
1590,,,T20
1591,,,T20
1592,,,No
1593,,,No
1594,,,T20
1595,,,T20
1596,,,No
1597,,,T20
1598,,,T20
1599,,,T20
1600,,,No
1601,,,No
1602,,,T20
1603,,,No
1604,,,T20
1605,,,No
1606,,,No
1607,,,No
1608,,,No
1609,,,T20
1610,,,No
1611,,,No
1612,,,No
1613,,,No
1614,,,No
1615,,,No
1616,,,T20
1617,,,T20
1618,,,No
1619,,,No
1620,,,T20
1621,,,T20
1622,,,T20
1623,,,T20
1624,,,No
1625,,,T20
1626,,,No
1627,,,No
1628,,,T20
1629,,,T20
1630,,,No
1631,,,No
1632,,,No
1633,,,T20
1634,,,No
1635,,,No
1636,,,T20
1637,,,No
1638,,,No
1639,,,No
1640,,,T20 (T3 - A1)
1641,,,T20
1642,,,T20
1643,,,No
1644,,,No
1645,,,T20
1646,,,T20
1647,,,No
1648,,,T20
1649,,,T20
1650,,,T20
1651,,,No
1652,,,No
1653,,,T20
1654,,,No
1655,,,No
1656,,,T20
1657,,,T20
1658,,,No
1659,,,No
1660,,,T20
1661,,,T20
1662,,,T20
1663,,,No
1664,,,T20
1665,,,No
1666,,,T20
1667,,,No
1668,,,No
1669,,,T20
1670,,,No
1671,,,T20
1672,,,No
1673,,,No
1674,,,No
1675,,,No
1676,,,No
1677,,,T20
1678,,,No
1679,,,No
1680,,,T20
1681,,,No
1682,,,T20
1683,,,No
1684,,,No
1685,,,No
1686,,,No
1687,,,No
1688,,,T20
1689,,,No
1690,,,T20
1691,,,No
1692,,,T20
1693,,,No
1694,,,No
1695,,,No
1696,,,No
